config,N,M,eer_mean,eer_std
A4_arcface,5,1,0.01727272727272726,0.0007422696190252052
A4_arcface,5,3,0.005757575757575755,0.008645662192537635
A4_arcface,5,5,0.005151515151515148,0.008813963377120591
A4_arcface,5,10,0.0006060606060606061,0.0012121212121212121
A4_arcface,10,1,0.01727272727272726,0.0007422696190252052
A4_arcface,10,3,0.005757575757575755,0.008645662192537635
A4_arcface,10,5,0.005151515151515148,0.008813963377120591
A4_arcface,10,10,0.0006060606060606061,0.0012121212121212121
A5_softmax,1,1,0.009696969696969695,0.012770489397397255
A5_softmax,1,3,0.0024242424242424242,0.00154515742836145
A5_softmax,1,5,0.0018181818181818182,0.0022268088570756165
A5_softmax,1,10,0.0015151515151515152,0.0016597653257732306
A5_softmax,3,1,0.01242424242424242,0.013187912210296323
A5_softmax,3,3,0.002727272727272727,0.002010075630518424
A5_softmax,3,5,0.0018181818181818182,0.0022268088570756165
A5_softmax,3,10,0.0012121212121212121,0.0011338355717496792
A5_softmax,5,1,0.009090909090909089,0.011968737974625145
A5_softmax,5,3,0.002121212121212121,0.00154515742836145
A5_softmax,5,5,0.004848484848484846,0.008958633635814834
A5_softmax,5,10,0.0015151515151515152,0.0023472626340651013
A5_softmax,10,1,0.010909090909090903,0.01283504156639234
A5_softmax,10,3,0.0012121212121212121,0.0011338355717496792
A5_softmax,10,5,0.0015151515151515152,0.0023472626340651013
A5_softmax,10,10,0.0006060606060606061,0.0007422696190252055
A5_arcface,1,1,0.01575757575757575,0.0211384000322367
A5_arcface,1,3,0.011212121212121206,0.01025837023018833
A5_arcface,1,5,0.005151515151515148,0.005300865358950268
A5_arcface,1,10,0.008787878787878784,0.00935966376453363
A5_arcface,3,1,0.021818181818181806,0.01881718145001214
A5_arcface,3,3,0.01151515151515151,0.010739421301011721
A5_arcface,3,5,0.005454545454545452,0.005300865358950268
A5_arcface,3,10,0.009090909090909085,0.009865951876424058
A5_arcface,5,1,0.022727272727272717,0.020373013713904972
A5_arcface,5,3,0.011818181818181811,0.011273378931962582
A5_arcface,5,5,0.005757575757575755,0.005283513870958387
A5_arcface,5,10,0.009393939393939389,0.009649505047327665
A5_arcface,10,1,0.018484848484848476,0.02167037476215893
A5_arcface,10,3,0.010909090909090903,0.01042706092974863
A5_arcface,10,5,0.005454545454545452,0.005300865358950268
A5_arcface,10,10,0.008787878787878784,0.00935966376453363
